"species";"status"
"Dendrocygna autumnalis";"Visiteur (12)"
"Dendrocygna bicolor";"Visiteur (3)"
"Anser caerulescens";"Nicheur"
"Anser rossii";"Migrateur"
"Anser anser";"Visiteur (1)"
"Anser albifrons";"Migrateur"
"Anser fabalis";"Visiteur (1)"
"Anser serrirostris";"Visiteur (2)"
"Anser brachyrhynchus";"Visiteur"
"Branta bernicla";"Nicheur"
"Branta leucopsis";"Visiteur"
"Branta hutchinsii";"Nicheur"
"Branta canadensis";"Nicheur"
"Cygnus olor";"Nicheur"
"Cygnus buccinator";"Nicheur"
"Cygnus columbianus";"Nicheur"
"Tadorna tadorna";"Visiteur (4)"
"Aix sponsa";"Nicheur"
"Spatula querquedula";"Visiteur (17)"
"Spatula discors";"Nicheur"
"Spatula cyanoptera";"Visiteur (8)"
"Spatula clypeata";"Nicheur"
"Mareca strepera";"Nicheur"
"Mareca penelope";"Migrateur"
"Mareca americana";"Nicheur"
"Anas platyrhynchos";"Nicheur"
"Anas rubripes";"Nicheur"
"Anas acuta";"Nicheur"
"Anas crecca";"Nicheur"
"Aythya valisineria";"Nicheur"
"Aythya americana";"Nicheur"
"Aythya collaris";"Nicheur"
"Aythya fuligula";"Visiteur (23)"
"Aythya marila";"Nicheur"
"Aythya affinis";"Nicheur"
"Polysticta stelleri";"Visiteur (2)"
"Somateria spectabilis";"Nicheur"
"Somateria mollissima";"Nicheur"
"Histrionicus histrionicus";"Nicheur"
"Camptorhynchus labradorius";"Disparu"
"Melanitta perspicillata";"Nicheur"
"Melanitta deglandi";"Nicheur"
"Melanitta americana";"Nicheur"
"Clangula hyemalis";"Nicheur"
"Bucephala albeola";"Nicheur"
"Bucephala clangula";"Nicheur"
"Bucephala islandica";"Nicheur"
"Lophodytes cucullatus";"Nicheur"
"Mergus merganser";"Nicheur"
"Mergus serrator";"Nicheur"
"Oxyura jamaicensis";"Nicheur"
"Meleagris gallopavo";"Nicheur"
"Bonasa umbellus";"Nicheur"
"Falcipennis canadensis";"Nicheur"
"Lagopus lagopus";"Nicheur"
"Lagopus muta";"Nicheur"
"Tympanuchus phasianellus";"Nicheur"
"Perdix perdix";"Nicheur"
"Podilymbus podiceps";"Nicheur"
"Podiceps auritus";"Nicheur"
"Podiceps grisegena";"Nicheur"
"Podiceps nigricollis";"Visiteur (9)"
"Aechmophorus occidentalis";"Visiteur (3)"
"Columba livia";"Nicheur"
"Columba palumbus";"Visiteur (1)"
"Patagioenas fasciata";"Visiteur (4)"
"Streptopelia decaocto";"Nicheur"
"Ectopistes migratorius";"Disparu"
"Columbina passerina";"Visiteur (1)"
"Zenaida asiatica";"Visiteur"
"Zenaida macroura";"Nicheur"
"Cuculus canorus";"Visiteur (1)"
"Coccyzus americanus";"Nicheur"
"Coccyzus erythropthalmus";"Nicheur"
"Chordeiles minor";"Nicheur"
"Antrostomus carolinensis";"Visiteur (2)"
"Antrostomus vociferus";"Nicheur"
"Chaetura pelagica";"Nicheur"
"Apus apus";"Visiteur (1)"
"Colibri thalassinus";"Visiteur (1)"
"Lampornis amethystinus";"Visiteur (1)"
"Archilochus colubris";"Nicheur"
"Calypte anna";"Visiteur (2)"
"Selasphorus rufus";"Visiteur (11)"
"Cynanthus latirostris";"Visiteur (1)"
"Rallus crepitans";"Visiteur (2)"
"Rallus elegans";"Visiteur (5)"
"Rallus limicola";"Nicheur"
"Porzana carolina";"Nicheur"
"Gallinula galeata";"Nicheur"
"Fulica atra";"Visiteur (1)"
"Fulica americana";"Nicheur"
"Porphyrio martinicus";"Visiteur (29)"
"Coturnicops noveboracensis";"Nicheur"
"Antigone canadensis";"Nicheur"
"Grus grus";"Visiteur (3)"
"Grus americana";"Visiteur (1)"
"Himantopus mexicanus";"Visiteur (1)"
"Recurvirostra americana";"Visiteur"
"Haematopus palliatus";"Visiteur (5)"
"Vanellus vanellus";"Visiteur (6)"
"Pluvialis squatarola";"Migrateur"
"Pluvialis apricaria";"Visiteur (2)"
"Pluvialis dominica";"Nicheur"
"Charadrius vociferus";"Nicheur"
"Charadrius hiaticula";"Visiteur (5)"
"Charadrius semipalmatus";"Nicheur"
"Charadrius melodus";"Nicheur"
"Charadrius wilsonia";"Visiteur (1)"
"Bartramia longicauda";"Nicheur"
"Numenius phaeopus";"Migrateur"
"Numenius borealis";"Disparu"
"Limosa lapponica";"Visiteur (2)"
"Limosa limosa";"Visiteur (5)"
"Limosa haemastica";"Migrateur"
"Limosa fedoa";"Nicheur"
"Arenaria interpres";"Migrateur"
"Calidris canutus";"Migrateur"
"Calidris pugnax";"Visiteur"
"Calidris acuminata";"Visiteur (3)"
"Calidris himantopus";"Migrateur"
"Calidris ferruginea";"Visiteur (9)"
"Calidris ruficollis";"Visiteur (1)"
"Calidris alba";"Migrateur"
"Calidris alpina";"Nicheur"
"Calidris maritima";"Migrateur"
"Calidris bairdii";"Migrateur"
"Calidris minutilla";"Nicheur"
"Calidris fuscicollis";"Migrateur"
"Calidris subruficollis";"Migrateur"
"Calidris melanotos";"Nicheur"
"Calidris pusilla";"Nicheur"
"Calidris mauri";"Migrateur"
"Limnodromus griseus";"Nicheur"
"Limnodromus scolopaceus";"Migrateur"
"Scolopax minor";"Nicheur"
"Gallinago delicata";"Nicheur"
"Actitis macularius";"Nicheur"
"Tringa solitaria";"Nicheur"
"Tringa flavipes";"Nicheur"
"Tringa semipalmata";"Nicheur"
"Tringa nebularia";"Visiteur (1)"
"Tringa melanoleuca";"Nicheur"
"Phalaropus tricolor";"Nicheur"
"Phalaropus lobatus";"Nicheur"
"Phalaropus fulicarius";"Nicheur"
"Stercorarius pomarinus";"Nicheur"
"Stercorarius parasiticus";"Nicheur"
"Stercorarius longicaudus";"Nicheur"
"Alle alle";"Migrateur"
"Uria aalge";"Nicheur"
"Uria lomvia";"Nicheur"
"Alca torda";"Nicheur"
"Pinguinus impennis";"Disparu"
"Cepphus grylle";"Nicheur"
"Brachyramphus perdix";"Visiteur (1)"
"Synthliboramphus antiquus";"Visiteur (2)"
"Fratercula arctica";"Nicheur"
"Rissa tridactyla";"Nicheur"
"Pagophila eburnea";"Visiteur"
"Xema sabini";"Migrateur"
"Chroicocephalus philadelphia";"Nicheur"
"Chroicocephalus ridibundus";"Nicheur"
"Hydrocoloeus minutus";"Nicheur"
"Rhodostethia rosea";"Visiteur (9)"
"Leucophaeus atricilla";"Visiteur"
"Leucophaeus pipixcan";"Visiteur"
"Larus crassirostris";"Visiteur (1)"
"Larus canus";"Visiteur (30)"
"Larus delawarensis";"Nicheur"
"Larus californicus";"Visiteur (8)"
"Larus argentatus";"Nicheur"
"Larus michahellis";"Visiteur (2)"
"Larus glaucoides";"Nicheur"
"Larus fuscus";"Migrateur"
"Larus schistisagus";"Visiteur (3)"
"Larus hyperboreus";"Nicheur"
"Larus marinus";"Nicheur"
"Onychoprion fuscatus";"Visiteur (1)"
"Gelochelidon nilotica";"Visiteur (2)"
"Hydroprogne caspia";"Nicheur"
"Chlidonias niger";"Nicheur"
"Chlidonias leucopterus";"Visiteur (5)"
"Sterna dougallii";"Nicheur"
"Sterna hirundo";"Nicheur"
